Name:     Description:
pacman    "PuckMan (Japan set 1)"
pacmanjp  "PuckMan (Japan set 2)"
pacmanm   "Pac-Man (Midway)"
npacmod   "PuckMan (harder?)"
pacmod    "Pac-Man (Midway, harder)"
hangly    "Hangly-Man (set 1)"
hangly2   "Hangly-Man (set 2)"
puckman   "New Puck-X"
pacheart  "Pac-Man (Hearts)"
piranha   "Piranha"
pacplus   "Pac-Man Plus"
mspacman  "Ms. Pac-Man"
mspacatk  "Ms. Pac-Man Plus"
pacgal    "Pac-Gal"
maketrax  "Make Trax"
crush     "Crush Roller (Kural Samno)"
crush2    "Crush Roller (Kural Esco - bootleg?)"
crush3    "Crush Roller (Kural - bootleg?)"
mbrush    "Magic Brush"
paintrlr  "Paint Roller"
eyes      "Eyes (Digitrex Techstar)"
eyes2     "Eyes (Techstar Inc.)"
mrtnt     "Mr. TNT"
ponpoko   "Ponpoko"
ponpokov  "Ponpoko (Venture Line)"
lizwiz    "Lizard Wizard"
theglob   "Glob, The"
beastf    "Beastie Feastie"
jumpshot  "Jump Shot"
dremshpr  "Dream Shopper"
vanvan    "Van Van Car"
vanvans   "Van Van Car (Sanritsu)"
alibaba   "Ali Baba and 40 Thieves"
pengo     "Pengo (set 1)"
pengo2    "Pengo (set 2)"
pengo2u   "Pengo (set 2 not encrypted)"
penta     "Penta"
jrpacman  "Jr. Pac-Man"
galaxian  "Galaxian (Namco)"
galmidw   "Galaxian (Midway)"
superg    "Super Galaxians"
galaxb    "Galaxian (bootleg)"
galapx    "Galaxian Part X"
galap1    "Space Invaders Galactica"
galap4    "Galaxian Part 4"
galturbo  "Galaxian Turbo"
swarm     "Swarm"
zerotime  "Zero Time"
pisces    "Pisces"
uniwars   "UniWar S"
gteikoku  "Gingateikoku No Gyakushu"
spacbatt  "Space Battle"
warofbug  "War of the Bugs"
redufo    "Defend the Terra Attack on the Red UFO (bootleg)"
exodus    "Exodus (bootleg?)"
pacmanbl  "Pac-Man (bootleg on Galaxian hardware)"
devilfsg  "Devil Fish (Galaxian hardware, bootleg?)"
zigzag    "Zig Zag (Galaxian hardware, set 1)"
zigzag2   "Zig Zag (Galaxian hardware, set 2)"
jumpbug   "Jump Bug"
jumpbugb  "Jump Bug (bootleg)"
levers    "Levers"
azurian   "Azurian Attack"
orbitron  "Orbitron"
mooncrgx  "Moon Cresta (bootleg on Galaxian hardware)"
mooncrst  "Moon Cresta (Nichibutsu)"
mooncrsg  "Moon Cresta (Gremlin)"
smooncrs  "Super Moon Cresta"
mooncrsb  "Moon Cresta (bootleg set 1)"
mooncrs2  "Moon Cresta (bootleg set 2)"
fantazia  "Fantazia"
eagle     "Eagle (set 1)"
